trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
746,False,"{'a': 0.2, 'e': 0.25399999999999934}",20,16,5.800551569867023,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.2, 'e': 0.25299999999999934}",20,0,26.899400971781123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
748,False,"{'a': 0.2, 'e': 0.25199999999999934}",25,3,34.85848278342804,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.2, 'e': 0.25099999999999933}",20,7,-60.52846653931698,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
750,False,"{'a': 0.2, 'e': 0.24999999999999933}",25,13,-27.16157494160283,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
751,False,"{'a': 0.2, 'e': 0.24899999999999933}",25,0,34.75267340424836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
752,False,"{'a': 0.2, 'e': 0.24799999999999933}",20,3,-19.828240973866063,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
753,False,"{'a': 0.2, 'e': 0.24699999999999933}",25,0,12.187995120368358,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
754,False,"{'a': 0.2, 'e': 0.24599999999999933}",25,0,-20.68478646775043,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
755,False,"{'a': 0.2, 'e': 0.24499999999999933}",20,14,12.044023099282098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.2, 'e': 0.24399999999999933}",20,15,2.2019808238306187,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.2, 'e': 0.24299999999999933}",20,0,-4.125968919203468,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
758,False,"{'a': 0.2, 'e': 0.24199999999999933}",35,9,-39.15607662437437,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 1}",1
759,False,"{'a': 0.2, 'e': 0.24099999999999933}",20,0,-33.47967355536319,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
760,False,"{'a': 0.2, 'e': 0.23999999999999932}",25,6,-6.006733634585044,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
761,False,"{'a': 0.2, 'e': 0.23899999999999932}",20,11,-27.989045439514666,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
762,False,"{'a': 0.2, 'e': 0.23799999999999932}",20,0,16.2179215391779,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
763,False,"{'a': 0.2, 'e': 0.23699999999999932}",20,9,-1.154245143197718,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
764,False,"{'a': 0.2, 'e': 0.23599999999999932}",25,15,-24.51637145872413,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
765,False,"{'a': 0.2, 'e': 0.23499999999999932}",25,0,-18.701479333550473,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
766,False,"{'a': 0.2, 'e': 0.23399999999999932}",20,8,4.319154935840723,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
767,False,"{'a': 0.2, 'e': 0.23299999999999932}",20,6,20.6719784521544,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.2, 'e': 0.23199999999999932}",20,8,20.286018260958148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.2, 'e': 0.23099999999999932}",20,15,10.621944487343335,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.2, 'e': 0.22999999999999932}",20,0,-0.804179529764903,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
771,False,"{'a': 0.2, 'e': 0.22899999999999932}",25,0,-36.95949315955409,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
772,False,"{'a': 0.2, 'e': 0.22799999999999931}",30,5,-10.868090608576686,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
773,False,"{'a': 0.2, 'e': 0.2269999999999993}",20,10,20.499482681909416,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.2, 'e': 0.2259999999999993}",20,0,-35.42995228321058,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
775,False,"{'a': 0.2, 'e': 0.2249999999999993}",20,5,23.833270920885266,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.2, 'e': 0.2239999999999993}",25,19,0.48547903999293807,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
777,False,"{'a': 0.2, 'e': 0.2229999999999993}",20,0,22.623480477039525,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
778,False,"{'a': 0.2, 'e': 0.2219999999999993}",25,3,-20.622584808000067,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
779,False,"{'a': 0.2, 'e': 0.2209999999999993}",25,0,39.39527014168226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
